Stoel,Tijd,Nagalmtijd,x,y,z
1 1 1,2023-03-23 10:29:59.512371,0.7142569081078216,3,7,7
1 2 1,2023-03-23 10:34:27.115685,0.668354758940551,3,6,6
1 3 1,2023-03-23 10:35:23.185208,0.7367387701657248,4,6,6
1 4 1,2023-03-23 10:36:28.397536,0.584151925975252,5,6,6
1 5 1,2023-03-23 10:37:15.171863,1.0342586286915036,6,6,6
1 6 1,2023-03-23 10:37:56.026392,0.5324290371254301,7,6,6
2 1 1,2023-03-23 10:39:05.615750,0.7441231493924397,0,5,5
2 2 1,2023-03-23 10:39:56.257432,0.5827479405960544,1,5,5
2 3 1,2023-03-23 10:40:38.812191,0.6890777156036879,2,5,5
2 4 1,2023-03-23 10:41:35.587073,0.5863972614213662,3,5,5
2 5 1,2023-03-23 10:42:27.725868,0.5932323528248957,4,5,5
2 6 1,2023-03-23 10:43:24.460458,0.6359554352452761,5,5,5
2 7 1,2023-03-23 10:44:08.841093,0.5782982319438571,6,5,5
2 8 1,2023-03-23 10:45:11.254199,0.5906340438209883,7,5,5
3 1 1,2023-03-23 10:48:49.974837,0.5355429925840031,0,4,4
3 2 1,2023-03-23 10:51:26.754939,1.0032112238060704,1,4,4
3 3 1 ,2023-03-23 10:52:22.217508,0.5460000679091215,2,4,4
3 4 1,2023-03-23 10:53:09.938227,0.6639281794436757,3,4,4
3 5 1,2023-03-23 10:54:05.311454,0.5424911163802603,4,4,4
3 6 1,2023-03-23 10:56:08.668510,0.5015236654939366,5,4,4
3 7 1,2023-03-23 10:57:29.184763,0.6493178820156575,6,4,4
3 8 1,2023-03-23 10:58:16.323230,0.578657325639017,7,4,4
4 1 1,2023-03-23 10:59:36.338407,0.5685038830497829,0,3,3
4 2 1,2023-03-23 11:00:32.306950,0.6827413601783231,1,3,3
4 3 1,2023-03-23 11:01:20.518960,0.601235806850549,2,3,3
4 4 1,2023-03-23 11:02:04.718364,0.5755264161426102,3,3,3
4 5 1 ,2023-03-23 11:03:16.574756,0.8529612707218902,4,3,3
4 6 1,2023-03-23 11:04:46.391660,0.48392983271459666,5,3,3
4 7 1,2023-03-23 11:05:31.329404,0.5039518371338452,6,3,3
4 8 1,2023-03-23 11:06:22.362310,0.563650867302212,7,3,3
5 1 1,2023-03-23 11:07:41.740038,0.461960302595784,0,2,2
5 2 1,2023-03-23 11:08:59.282090,0.541679547894114,1,2,2
5 3 1,2023-03-23 11:10:22.744542,0.50516041211344,2,2,2
5 4 1,2023-03-23 11:11:34.203557,0.597071932064848,3,2,2
5 5 1,2023-03-23 11:12:23.839695,0.6674183354064361,4,2,2
5 6 1,2023-03-23 11:12:59.752374,0.5988380631840802,5,2,2
5 7 1,2023-03-23 11:13:32.985638,0.629115396978289,6,2,2
5 8 1,2023-03-23 11:14:18.848317,0.6376556633845083,7,2,2
6 1 1,2023-03-23 11:15:34.999798,0.7720532139511734,0,1,1
6 2 1,2023-03-23 11:16:39.948311,0.5859174501186055,2,1,1
6 3 1,2023-03-23 11:17:53.145256,0.610562822819457,2,1,1
6 4 1,2023-03-23 11:18:41.484868,0.6820040517553208,5,1,1
6 5 1 ,2023-03-23 11:20:19.571994,0.6185039811834929,4,1,1
6 6 1 ,2023-03-23 11:20:54.810947,0.5733795882005377,5,1,1
6 7 1,2023-03-23 11:21:53.929096,0.6169850798269875,6,1,1
6 8 1,2023-03-23 11:22:46.401077,0.5638394348929812,7,1,1
7 1 1,2023-03-23 11:23:41.438657,0.4850495816444931,0,0,0
7 2 1,2023-03-23 11:24:19.237711,0.5217429111263396,1,0,0
7 3 1,2023-03-23 11:25:09.388021,0.6056031561413562,2,0,0
7 4 1,2023-03-23 11:25:51.233236,0.7464239483771911,3,0,0
7 5 1,2023-03-23 11:26:47.734877,0.45151655534252116,4,0,0
7 6 1,2023-03-23 11:27:16.179861,0.5326329258664513,5,0,0
7 7 1,2023-03-23 11:27:54.283928,0.6692238355666749,6,0,0
7 8 1,2023-03-23 11:28:28.197768,0.6308436908459558,7,0,0
