meting,stoel,tijd,nagalmtijd,raw_recording,x,y,z
Meting 1,1 1 1,2023-03-23 10:29:59.512371,0.5952140900898514,"[[ 0.0000000e+00]
 [ 6.2561035e-03]
 [ 6.4086914e-03]
 ...
 [ 1.2207031e-04]
 [-3.0517578e-05]
 [ 3.3569336e-04]]",3,7,7
Meting 2,1 2 1,2023-03-23 10:34:27.115685,0.5569622991171258,"[[0.        ]
 [0.00634766]
 [0.00598145]
 ...
 [0.00054932]
 [0.00057983]
 [0.00064087]]",3,6,6
Meting 3,1 3 1,2023-03-23 10:35:23.185208,0.613948975138104,"[[ 0.0000000e+00]
 [ 5.2490234e-03]
 [ 5.0048828e-03]
 ...
 [-1.2207031e-04]
 [ 9.1552734e-05]
 [-2.4414062e-04]]",4,6,6
Meting 4,1 4 1,2023-03-23 10:36:28.397536,0.48679327164604336,"[[0.        ]
 [0.00564575]
 [0.00579834]
 ...
 [0.00064087]
 [0.0005188 ]
 [0.00067139]]",5,6,6
Meting 5,1 5 1,2023-03-23 10:37:15.171863,0.861882190576253,"[[ 0.        ]
 [ 0.00650024]
 [ 0.00640869]
 ...
 [-0.00097656]
 [-0.00091553]
 [-0.00109863]]",6,6,6
Meting 6,1 6 1,2023-03-23 10:37:56.026392,0.44369086427119175,"[[0.        ]
 [0.00457764]
 [0.00445557]
 ...
 [0.00091553]
 [0.00073242]
 [0.0007019 ]]",7,6,6
Meting 7,2 1 1,2023-03-23 10:39:05.615750,0.6201026244936998,"[[ 0.0000000e+00]
 [ 6.1645508e-03]
 [ 5.7067871e-03]
 ...
 [-7.6293945e-04]
 [-9.1552734e-05]
 [-5.7983398e-04]]",0,5,5
Meting 8,2 2 1,2023-03-23 10:39:56.257432,0.4856232838300453,"[[ 0.        ]
 [ 0.00473022]
 [ 0.00500488]
 ...
 [-0.00054932]
 [-0.00045776]
 [-0.00076294]]",1,5,5
Meting 9,2 3 1,2023-03-23 10:40:38.812191,0.57423142966974,"[[ 0.0000000e+00]
 [ 6.3476562e-03]
 [ 6.1340332e-03]
 ...
 [-9.1552734e-05]
 [ 1.8310547e-04]
 [-1.2207031e-04]]",2,5,5
Meting 10,2 4 1,2023-03-23 10:41:35.587073,0.48866438451780514,"[[ 0.0000000e+00]
 [ 6.0424805e-03]
 [ 5.8593750e-03]
 ...
 [-6.1035156e-05]
 [-2.1362305e-04]
 [-3.9672852e-04]]",3,5,5
Meting 11,2 5 1,2023-03-23 10:42:27.725868,0.49436029402074644,"[[0.        ]
 [0.00482178]
 [0.00482178]
 ...
 [0.00012207]
 [0.00024414]
 [0.00021362]]",4,5,5
